comment_id,author,text,time,votes,photo
Ugwt2Yu1qkwF21SRRmh4AaABAg,@adipriyatno9107,"Yg mesti hati2 bapak,dngan pernyataan yg trus menerus sprti ini,,rakyat akan bosan dan tidak prcya lgi sma bpa,,",7 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_llajcD16Zm69Ied3AleKMmhURRFwuGJGVt__yiU7gpQ4w=s88-c-k-c0x00ffffff-no-rj
Ugw8SEqDweWa00S5a4V4AaABAg,@pasutri_lucu,"Tangkap yg bayar demo ,,,,ini mereka ahli dalam KURUPSI",8 jam yang lalu,0,https://yt3.ggpht.com/MaKL-uOn2om0fZrungLn2amg11y74CoRoLz66qqzLp5bB1SDzyIsLC1Usr-fZghqiPg5bzQgcA=s88-c-k-c0x00ffffff-no-rj
Ugx2nfqS3ryoGH5Mcad4AaABAg,@ricoghama9448,"Omon omon,suudzon,justru hati hati orang di sekeliling bapak",8 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_l8Y_yahIwduBklQ8YQbUmm8N7MxYyen7WrcR_V420=s88-c-k-c0x00ffffff-no-rj
Ugz0NNpbgJAau_kdsXx4AaABAg,@Rogese1976,.lihat di media sosial.mahasiswa itu bilang .Gibran yg bayar pendemo.ayoo dong di tangkap.,5 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_nBiBza47xrVI22HQqbI5vVMSjOKCrypMV0wpODLhDTVe4Nl2G7EKpFmagMA2FW4bucAg=s88-c-k-c0x00ffffff-no-rj
Ugz47lsYYyCIjw7HtY14AaABAg,@danielagbilio4329,Dadan Tertawa Melihat Ini 😅,6 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_l_y7Jk_TvPWh87aC4tabiab-SNrrLKjoI-bAHd_p8=s88-c-k-c0x00ffffff-no-rj
UgwipuD3G-jJn3olgL14AaABAg,@Purba-s6c,👍👍👍👍,4 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_l1zU22StKNf871dicTQBDk4x19Yspedvo2dT3lgfSr6SUuLOsP9TA7e55SMaN_kxlqmQ=s88-c-k-c0x00ffffff-no-rj
UgzQm5LWxO1CopJuj5F4AaABAg,@HardianSyah-c4w,Bpk juga dulu suka bayar2 demo😂😂😂,9 jam yang lalu,5,https://yt3.ggpht.com/ytc/AIdro_n17eVS6yOwSEgbNTgXc4n9JeOKRE9MMEESD8Bfcg_tgLUU3ZPzBmNs64A-tbv0zyDUoA=s88-c-k-c0x00ffffff-no-rj
Ugx6oVX2FhlHtrWe1vx4AaABAg,@aseplukmanulhakim550,Dari segi semangat dan muatannya bisa dibedakan demontrasi / unjuk rasa yg murni gerakan moral untuk perbaikan dengan demontrasi yang disogok.,6 jam yang lalu (diedit),0,https://yt3.ggpht.com/ezS614uvf1gCpJhvXWdtkhkRwGtTqh5eOerq2sz3dJhk5CncBq2Bl0xiHuQ9P94Bl2oB_R9lIg=s88-c-k-c0x00ffffff-no-rj
UgzY5YsHIUOfdqHm1L54AaABAg,@eddywijaya5461,Tp tak Tau siapa yg korupsi..😂,9 jam yang lalu,8,https://yt3.ggpht.com/ytc/AIdro_k4wFwgCxCabNYeLP5M_MELxAsEJHZnIRyCzqyxKkRzRNk=s88-c-k-c0x00ffffff-no-rj
UgxMjRRFM6SQlduE0q54AaABAg,@HaliSali-u1v7c,Wajar penguasa di demo biar mikir,2 jam yang lalu,0,https://yt3.ggpht.com/T9jD_OKiCLf_fKyJHp19DHOvSv6_4rix-TSxbVxClsfX_MV75l4Ljx-HTMtj9NUyQ7i5F1CJyQ=s88-c-k-c0x00ffffff-no-rj
